Date,Time,Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3
1/9/2007,08:12:00,0.284,0.000,240.030,1.200,0.000,0.000,0.0
18/10/2010,15:49:00,0.488,0.194,242.180,2.200,0.000,1.000,1.0
27/4/2010,22:28:00,0.350,0.098,243.710,1.400,0.000,0.000,0.0
25/5/2009,15:34:00,0.464,0.000,237.060,2.000,0.000,1.000,0.0
20/1/2010,01:18:00,0.430,0.248,244.670,2.000,0.000,1.000,1.0
2/7/2008,11:34:00,0.370,0.102,238.700,2.800,0.000,0.000,1.0
17/7/2008,03:48:00,0.238,0.098,241.810,1.000,0.000,0.000,0.0
30/4/2009,06:34:00,0.972,0.000,245.410,4.600,0.000,0.000,1.0
21/6/2007,20:12:00,0.354,0.238,242.630,1.800,0.000,2.000,0.0
24/4/2010,07:50:00,0.404,0.232,241.120,1.800,0.000,1.000,1.0
15/10/2009,01:24:00,0.236,0.000,244.480,1.000,0.000,0.000,1.0
12/12/2008,06:06:00,0.222,0.052,247.650,1.000,0.000,0.000,0.0
3/1/2008,08:16:00,3.394,0.112,237.110,14.200,0.000,0.000,17.0
6/7/2008,11:23:00,2.550,0.170,240.080,10.600,0.000,37.000,1.0
22/3/2010,15:28:00,1.514,0.226,244.090,6.200,0.000,0.000,19.0
22/12/2009,13:54:00,1.410,0.000,245.490,5.600,0.000,0.000,18.0
23/4/2009,23:21:00,0.540,0.284,242.430,2.400,0.000,0.000,1.0
9/9/2007,06:47:00,0.122,0.000,240.190,0.600,0.000,0.000,0.0
21/10/2009,17:36:00,3.900,0.104,239.500,16.400,0.000,24.000,19.0
6/3/2008,10:58:00,1.244,0.000,238.800,5.200,0.000,0.000,0.0
30/5/2009,08:32:00,1.864,0.000,238.560,8.200,0.000,0.000,18.0
24/6/2010,15:18:00,0.472,0.162,240.510,2.400,0.000,1.000,4.0
3/10/2007,23:49:00,0.250,0.054,240.720,1.200,0.000,0.000,0.0
6/2/2010,12:19:00,1.516,0.258,240.280,6.400,0.000,0.000,18.0
17/12/2008,12:06:00,1.878,0.458,243.830,7.800,0.000,1.000,18.0
9/3/2007,02:38:00,0.228,0.000,242.970,1.000,0.000,0.000,0.0
31/12/2006,00:57:00,0.214,0.000,244.560,1.000,0.000,0.000,0.0
15/5/2010,00:50:00,0.280,0.000,242.310,1.200,0.000,0.000,0.0
22/8/2008,04:23:00,0.252,0.254,240.440,1.400,0.000,0.000,1.0
26/2/2007,20:39:00,0.216,0.000,241.130,0.800,0.000,0.000,0.0
15/4/2009,15:07:00,0.320,0.000,245.390,1.400,0.000,0.000,1.0
4/8/2009,03:32:00,0.340,0.266,244.010,1.800,0.000,2.000,0.0
30/11/2009,21:27:00,1.650,0.098,236.880,7.000,2.000,0.000,1.0
20/6/2008,10:07:00,1.854,0.074,237.940,7.800,0.000,0.000,28.0
9/2/2008,18:37:00,1.252,0.000,239.190,5.200,0.000,0.000,0.0
10/10/2009,04:17:00,1.316,0.000,241.870,5.400,0.000,0.000,19.0
9/2/2007,12:43:00,0.414,0.250,242.490,2.000,0.000,0.000,0.0
4/4/2008,12:40:00,1.306,0.000,243.040,5.200,0.000,0.000,18.0
21/11/2010,12:41:00,0.398,0.184,239.86,1.8,0.0,2.0,0.0
23/3/2007,21:23:00,1.738,0.110,236.820,7.400,2.000,0.000,18.0
15/1/2009,16:38:00,0.388,0.208,246.430,1.800,0.000,0.000,0.0
2/7/2010,20:58:00,1.396,0.212,234.840,6.000,0.000,1.000,17.0
2/3/2008,00:12:00,0.394,0.230,241.940,1.800,0.000,2.000,0.0
5/9/2010,23:58:00,0.384,0.180,243.830,1.800,0.000,0.000,1.0
17/6/2009,13:31:00,0.514,0.172,242.690,2.200,0.000,2.000,1.0
23/8/2007,00:39:00,0.180,0.106,240.880,0.800,0.000,0.000,0.0
1/3/2010,12:32:00,2.766,0.222,240.530,11.400,0.000,0.000,28.0
15/4/2009,21:20:00,2.270,0.104,238.440,9.400,1.000,0.000,18.0
6/9/2008,16:59:00,1.434,0.284,239.700,6.200,0.000,20.000,1.0
16/4/2007,20:35:00,1.004,0.394,243.020,4.400,0.000,2.000,0.0
15/1/2007,19:57:00,3.664,0.340,232.760,15.800,0.000,5.000,17.0
2/3/2007,08:08:00,0.316,0.120,240.380,1.400,0.000,0.000,0.0
11/10/2010,05:44:00,1.454,0.166,237.590,6.000,0.000,1.000,18.0
12/2/2007,21:07:00,3.596,0.066,239.020,15.000,1.000,0.000,18.0
20/2/2010,04:11:00,0.258,0.054,245.580,1.000,0.000,0.000,1.0
20/7/2008,09:51:00,0.594,0.112,238.940,2.800,0.000,0.000,5.0
13/4/2007,06:22:00,0.288,0.098,238.640,1.200,0.000,1.000,0.0
17/8/2007,16:37:00,0.104,0.000,241.360,0.400,0.000,0.000,0.0
14/1/2009,00:41:00,0.334,0.104,246.020,1.400,0.000,0.000,0.0
1/6/2007,15:16:00,0.322,0.092,236.090,1.400,0.000,0.000,0.0
2/12/2009,11:07:00,2.118,0.266,242.420,8.800,0.000,0.000,28.0
13/8/2010,01:41:00,0.326,0.224,241.360,1.600,0.000,0.000,0.0
29/11/2008,16:07:00,1.312,0.064,243.540,5.400,0.000,0.000,18.0
2/12/2008,15:35:00,0.370,0.056,246.260,1.600,0.000,0.000,0.0
