Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3,day,month,Total_power_use
0.284,0.0,240.03,1.2,0,0,0,1,9,0
0.488,0.194,242.18,2.2,0,1,1,18,10,2
0.35,0.098,243.71,1.4,0,0,0,27,4,0
0.464,0.0,237.06,2.0,0,1,0,25,5,1
0.43,0.248,244.67,2.0,0,1,1,20,1,2
0.37,0.102,238.7,2.8,0,0,1,2,7,1
0.238,0.098,241.81,1.0,0,0,0,17,7,0
0.972,0.0,245.41,4.6,0,0,1,30,4,1
0.354,0.238,242.63,1.8,0,2,0,21,6,2
0.404,0.232,241.12,1.8,0,1,1,24,4,2
0.236,0.0,244.48,1.0,0,0,1,15,10,1
0.222,0.052,247.65,1.0,0,0,0,12,12,0
3.394,0.112,237.11,14.2,0,0,17,3,1,17
2.55,0.17,240.08,10.6,0,37,1,6,7,38
1.514,0.226,244.09,6.2,0,0,19,22,3,19
1.41,0.0,245.49,5.6,0,0,18,22,12,18
0.54,0.284,242.43,2.4,0,0,1,23,4,1
0.122,0.0,240.19,0.6,0,0,0,9,9,0
3.9,0.104,239.5,16.4,0,24,19,21,10,43
1.244,0.0,238.8,5.2,0,0,0,6,3,0
1.864,0.0,238.56,8.2,0,0,18,30,5,18
0.472,0.162,240.51,2.4,0,1,4,24,6,5
0.25,0.054,240.72,1.2,0,0,0,3,10,0
1.516,0.258,240.28,6.4,0,0,18,6,2,18
1.878,0.458,243.83,7.8,0,1,18,17,12,19
0.228,0.0,242.97,1.0,0,0,0,9,3,0
0.214,0.0,244.56,1.0,0,0,0,31,12,0
0.28,0.0,242.31,1.2,0,0,0,15,5,0
0.252,0.254,240.44,1.4,0,0,1,22,8,1
0.216,0.0,241.13,0.8,0,0,0,26,2,0
0.32,0.0,245.39,1.4,0,0,1,15,4,1
0.34,0.266,244.01,1.8,0,2,0,4,8,2
1.65,0.098,236.88,7.0,2,0,1,30,11,3
1.854,0.074,237.94,7.8,0,0,28,20,6,28
1.252,0.0,239.19,5.2,0,0,0,9,2,0
1.316,0.0,241.87,5.4,0,0,19,10,10,19
0.414,0.25,242.49,2.0,0,0,0,9,2,0
1.306,0.0,243.04,5.2,0,0,18,4,4,18
1.738,0.11,236.82,7.4,2,0,18,23,3,20
0.388,0.208,246.43,1.8,0,0,0,15,1,0
1.396,0.212,234.84,6.0,0,1,17,2,7,18
0.394,0.23,241.94,1.8,0,2,0,2,3,2
0.384,0.18,243.83,1.8,0,0,1,5,9,1
0.514,0.172,242.69,2.2,0,2,1,17,6,3
0.18,0.106,240.88,0.8,0,0,0,23,8,0
2.766,0.222,240.53,11.4,0,0,28,1,3,28
2.27,0.104,238.44,9.4,1,0,18,15,4,19
1.434,0.284,239.7,6.2,0,20,1,6,9,21
1.004,0.394,243.02,4.4,0,2,0,16,4,2
3.664,0.34,232.76,15.8,0,5,17,15,1,22
0.316,0.12,240.38,1.4,0,0,0,2,3,0
1.454,0.166,237.59,6.0,0,1,18,11,10,19
3.596,0.066,239.02,15.0,1,0,18,12,2,19
0.258,0.054,245.58,1.0,0,0,1,20,2,1
0.594,0.112,238.94,2.8,0,0,5,20,7,5
0.288,0.098,238.64,1.2,0,1,0,13,4,1
0.104,0.0,241.36,0.4,0,0,0,17,8,0
0.334,0.104,246.02,1.4,0,0,0,14,1,0
0.322,0.092,236.09,1.4,0,0,0,1,6,0
2.118,0.266,242.42,8.8,0,0,28,2,12,28
0.326,0.224,241.36,1.6,0,0,0,13,8,0
1.312,0.064,243.54,5.4,0,0,18,29,11,18
0.37,0.056,246.26,1.6,0,0,0,2,12,0
0.264,0.21,234.82,1.4,0,0,0,31,7,0
1.554,0.222,239.61,6.6,0,0,0,29,12,0
0.41,0.238,239.04,2.0,0,1,1,23,1,2
1.74,0.104,235.25,7.4,1,0,17,18,5,18
1.748,0.0,236.74,7.4,0,0,17,23,1,17
0.248,0.15,240.82,1.2,0,0,0,5,7,0
0.162,0.058,242.28,0.8,0,0,0,6,9,0
0.3,0.196,233.44,1.6,0,0,0,6,8,0
0.94,0.324,239.05,4.0,0,0,11,14,5,11
1.848,0.084,247.42,7.4,0,0,18,26,1,18
1.566,0.396,238.26,6.6,0,0,18,2,5,18
2.71,0.0,242.2,14.2,0,0,0,15,12,0
3.936,0.366,233.97,16.8,0,17,17,31,3,34
0.23,0.0,240.54,1.0,0,0,1,14,5,1
0.864,0.334,241.45,3.8,0,2,0,3,1,2
1.216,0.046,235.15,5.0,0,0,17,2,11,17
1.604,0.08,238.39,6.6,0,0,18,16,4,18
0.43,0.112,241.43,1.8,0,0,1,22,5,1
1.57,0.374,238.8,6.6,0,1,18,5,7,19
1.364,0.0,241.0,5.6,1,0,19,24,11,20
0.302,0.098,239.4,1.2,0,1,0,4,3,1
0.082,0.0,240.55,0.2,0,0,1,19,8,1
1.58,0.112,235.44,6.8,0,0,18,29,5,18
2.452,0.186,240.21,10.2,1,0,19,13,6,20
0.292,0.084,240.93,1.2,0,1,0,15,3,1
1.406,0.064,245.29,5.6,0,0,19,2,12,19
2.748,0.0,238.3,11.4,2,0,18,20,10,20
0.204,0.0,234.9,0.8,0,0,0,27,2,0
0.246,0.0,245.1,1.0,0,0,0,15,1,0
0.472,0.11,246.06,2.0,0,0,1,13,5,1
0.176,0.066,235.72,0.8,0,0,0,27,4,0
0.422,0.184,237.35,1.8,0,1,0,3,6,1
0.25,0.0,242.86,1.0,0,0,1,31,12,1
2.46,0.0,239.27,10.2,0,0,17,8,3,17
1.56,0.178,241.49,6.4,0,2,19,13,10,21
2.112,0.118,237.66,8.8,0,0,18,27,5,18
0.302,0.076,239.37,1.2,0,0,0,1,10,0
2.944,0.216,233.96,12.6,0,0,0,14,3,0
0.41,0.228,242.28,1.8,0,1,1,24,5,2
2.854,0.396,236.35,12.2,0,0,18,2,10,18
0.294,0.0,239.72,1.2,0,0,0,11,10,0
0.38,0.312,242.47,2.0,0,1,0,1,7,1
1.348,0.126,247.53,5.6,0,0,0,3,1,0
3.082,0.438,234.67,13.4,33,0,1,5,6,34
0.646,0.0,238.59,2.8,0,0,0,14,1,0
0.884,0.104,241.9,3.6,0,0,0,27,7,0
0.5,0.374,245.93,2.4,0,2,0,22,5,2
0.838,0.082,236.71,3.6,0,0,12,2,8,12
0.432,0.082,244.59,1.8,0,0,1,16,2,1
1.386,0.102,241.0,5.6,0,0,18,23,3,18
3.422,0.146,240.3,14.4,1,1,17,26,12,19
0.306,0.102,240.49,1.4,0,1,0,20,4,1
0.316,0.1,242.85,1.4,0,0,0,12,3,0
0.85,0.204,242.38,5.0,0,5,0,12,9,5
0.08,0.0,239.56,0.2,0,0,0,30,8,0
0.262,0.138,236.87,1.4,0,0,0,24,7,0
3.11,0.118,240.7,13.6,0,0,12,19,3,12
3.186,0.138,243.15,13.0,39,0,0,27,12,39
0.41,0.23,242.0,1.8,0,2,0,26,4,2
3.834,0.268,232.75,16.4,0,0,17,28,3,17
1.974,0.116,242.16,8.2,0,0,0,4,12,0
0.348,0.112,242.27,1.4,0,0,1,20,4,1
0.32,0.1,237.58,1.4,0,0,0,15,5,0
0.32,0.118,240.56,1.4,0,0,0,14,3,0
0.614,0.106,241.07,4.0,0,0,0,3,2,0
1.272,0.064,234.38,5.4,1,0,17,6,6,18
0.282,0.066,240.77,1.2,0,0,1,26,10,1
0.5,0.334,240.45,2.4,0,1,1,11,10,2
2.31,0.0,239.11,9.8,0,0,13,12,12,13
1.118,0.0,233.4,5.0,0,0,14,3,6,14
2.32,0.06,239.74,9.6,1,0,19,27,12,20
0.382,0.134,242.67,1.6,0,0,1,8,4,1
1.802,0.0,241.13,7.4,0,0,19,20,4,19
1.654,0.082,238.75,6.8,0,2,18,13,7,20
3.136,0.0,235.79,13.2,0,0,17,20,11,17
3.816,0.136,239.88,15.8,39,0,18,14,1,57
0.842,0.0,241.34,3.6,0,0,0,23,11,0
1.228,0.0,238.5,5.0,1,0,18,22,8,19
0.308,0.24,239.7,1.6,0,1,0,25,9,1
0.4,0.19,240.11,1.8,0,0,1,23,4,1
2.124,0.182,239.78,8.8,1,0,18,13,7,19
0.24,0.0,243.49,1.0,0,0,1,20,11,1
1.348,0.07,240.38,5.6,0,0,18,24,8,18
1.6,0.2,242.75,6.6,0,0,18,14,5,18
3.19,0.598,233.76,14.4,25,0,0,4,9,25
1.644,0.25,235.45,7.0,0,0,1,26,3,1
1.296,0.112,240.35,5.4,0,0,18,4,7,18
0.242,0.0,243.73,1.0,0,0,1,15,1,1
0.228,0.084,240.78,1.0,0,0,0,28,7,0
1.726,0.164,237.94,7.2,0,0,0,9,11,0
2.03,0.188,238.9,8.4,0,1,0,20,10,1
0.286,0.216,242.71,1.4,0,0,0,20,9,0
1.542,0.222,239.84,6.4,0,2,19,11,9,21
1.544,0.09,237.41,6.4,0,0,17,22,2,17
0.348,0.058,245.97,1.4,0,0,0,27,12,0
1.334,0.0,245.84,5.4,0,0,18,14,3,18
0.436,0.286,241.16,2.2,0,1,0,7,4,1
0.346,0.112,242.44,1.6,0,0,1,8,6,1
0.584,0.0,243.22,2.6,0,0,0,4,5,0
1.388,0.096,237.16,5.8,0,0,18,5,5,18
0.402,0.0,234.58,2.0,0,0,1,3,6,1
0.08,0.0,240.47,0.2,0,0,1,29,8,1
0.318,0.0,244.8,1.4,0,0,0,15,12,0
1.368,0.0,242.9,5.6,0,0,19,19,4,19
1.392,0.098,240.11,5.8,0,0,17,23,2,17
1.338,0.094,240.71,5.6,0,2,19,6,7,21
0.188,0.0,242.58,0.8,0,0,0,20,7,0
3.068,0.182,238.52,12.8,39,0,0,4,5,39
0.418,0.186,239.85,1.8,0,1,1,11,10,2
1.376,0.082,241.68,5.6,0,0,19,9,6,19
0.35,0.12,241.74,1.4,0,0,0,20,3,0
1.544,0.152,241.62,6.4,0,1,19,31,8,20
1.464,0.09,241.31,6.0,0,0,18,28,11,18
0.24,0.094,242.83,1.0,0,0,1,27,5,1
1.582,0.056,235.54,6.6,0,1,17,29,2,18
0.08,0.0,240.46,0.2,0,0,1,30,8,1
0.294,0.0,239.8,1.2,0,0,1,15,10,1
2.07,0.244,242.1,8.6,0,1,18,26,1,19
3.474,0.06,237.34,14.6,0,0,18,10,3,18
1.966,0.062,242.32,8.0,0,0,1,19,5,1
1.796,0.166,236.7,7.6,0,0,17,21,5,17
0.346,0.118,242.66,1.4,0,0,1,1,5,1
0.524,0.236,247.04,2.4,0,2,0,8,2,2
0.472,0.064,241.53,2.4,0,0,0,30,10,0
0.26,0.05,244.98,1.2,0,0,0,23,3,0
1.406,0.09,239.4,5.8,0,0,18,19,5,18
1.448,0.172,239.65,6.0,0,0,19,16,10,19
0.56,0.218,239.34,2.4,0,0,0,25,6,0
1.064,0.206,241.88,4.4,0,0,12,29,8,12
0.254,0.102,243.9,1.0,0,0,0,10,6,0
0.316,0.094,240.84,1.2,0,0,1,15,11,1
3.766,0.304,228.4,16.4,41,0,0,25,5,41
0.224,0.056,245.19,1.0,0,0,0,11,12,0
0.214,0.0,241.39,1.0,0,0,1,15,7,1
0.638,0.328,243.7,3.2,0,1,1,10,7,2
0.742,0.344,241.42,3.4,0,1,1,18,7,2
0.2,0.0,239.15,0.8,0,0,0,3,11,0
0.736,0.068,243.28,3.0,0,0,1,4,10,1
0.232,0.0,244.96,1.0,0,0,1,29,11,1
0.216,0.102,242.82,1.0,0,0,1,10,7,1
2.836,0.0,238.46,12.6,25,0,0,15,11,25
0.276,0.262,241.75,1.6,0,1,0,26,8,1
1.898,0.316,242.38,7.8,0,0,19,4,11,19
0.94,0.182,240.37,4.0,0,2,0,16,6,2
6.238,0.36,231.32,27.0,0,36,17,20,1,53
1.802,0.0,241.26,7.4,1,1,18,21,3,20
0.3,0.228,240.48,1.6,0,2,1,27,7,3
1.718,0.214,242.88,7.0,0,2,19,27,1,21
1.96,0.072,239.07,8.2,0,0,0,11,1,0
0.25,0.046,243.56,1.0,0,0,0,7,1,0
0.308,0.25,244.02,1.6,0,1,1,27,9,2
2.566,0.062,241.4,10.8,1,0,19,7,1,20
0.22,0.0,243.16,0.8,0,0,0,22,3,0
0.314,0.084,241.54,1.2,0,2,1,14,5,3
0.158,0.0,241.61,0.6,0,0,1,12,7,1
4.012,0.364,235.57,17.0,0,1,17,10,11,18
0.806,0.214,242.08,3.4,0,0,12,5,8,12
0.838,0.242,240.96,3.6,0,2,11,10,7,13
2.672,0.354,239.43,11.2,0,2,17,1,7,19
0.314,0.266,244.06,1.6,0,1,1,5,8,2
1.482,0.178,246.03,6.0,0,0,0,27,12,0
0.382,0.094,241.21,1.6,0,0,0,31,3,0
1.54,0.074,242.35,6.2,0,0,18,16,4,18
1.204,0.068,234.87,5.0,0,0,17,7,9,17
0.324,0.118,243.16,1.4,0,0,0,1,11,0
0.706,0.258,240.68,3.0,1,0,0,13,9,1
0.402,0.244,247.8,1.8,0,2,0,29,12,2
1.44,0.248,240.7,6.0,0,0,17,17,9,17
0.316,0.06,242.2,1.4,0,0,0,23,10,0
1.854,0.204,241.29,7.6,0,0,18,9,6,18
1.212,0.068,234.89,5.0,0,0,16,7,9,16
0.306,0.226,236.77,1.6,0,0,0,3,8,0
0.462,0.266,240.49,2.2,0,1,0,23,9,1
0.888,0.238,242.65,3.8,0,0,12,18,9,12
1.514,0.048,243.68,6.2,0,1,19,17,2,20
0.494,0.16,241.5,2.2,0,1,1,12,10,2
0.216,0.094,237.66,1.0,0,0,0,7,5,0
0.772,0.1,243.84,3.2,2,0,0,5,11,2
0.374,0.256,242.63,1.8,0,1,1,17,6,2
0.792,0.0,242.52,3.2,0,0,1,11,8,1
1.392,0.098,241.56,5.6,0,0,18,16,11,18
2.1,0.078,239.33,8.8,0,1,18,11,2,19
1.682,0.08,243.35,6.8,0,0,18,3,2,18
1.244,0.046,231.92,5.4,0,0,17,20,7,17
1.346,0.086,239.93,5.6,0,1,18,20,5,19
0.53,0.226,240.81,2.4,0,2,0,26,1,2
0.378,0.0,248.22,1.4,0,0,0,18,1,0
2.204,0.094,239.41,9.4,0,29,0,26,3,29
1.406,0.0,236.57,5.8,1,0,17,5,5,18
0.104,0.0,237.17,0.4,0,0,0,29,7,0
2.394,0.0,246.57,9.6,0,0,0,29,12,0
0.298,0.216,242.13,1.4,0,0,1,10,9,1
0.14,0.0,236.12,0.6,0,0,0,23,7,0
0.264,0.0,242.2,1.0,0,0,1,3,8,1
1.578,0.25,238.26,6.6,0,0,1,4,7,1
1.746,0.0,242.27,7.2,1,1,18,7,2,20
0.526,0.078,239.02,2.6,0,0,0,30,10,0
1.772,0.294,238.63,7.6,0,1,22,28,8,23
0.316,0.058,241.25,1.4,0,0,0,13,12,0
4.678,0.344,236.52,20.2,32,1,18,10,10,51
0.412,0.222,242.21,1.8,0,2,0,20,11,2
7.504,0.502,230.36,32.6,36,34,17,3,2,87
0.686,0.206,236.92,3.2,0,1,8,25,7,9
1.186,0.0,237.98,5.0,0,0,18,8,7,18
1.258,0.0,243.04,5.2,0,0,19,16,5,19
0.256,0.0,245.13,1.0,0,0,1,10,4,1
0.42,0.226,242.07,2.0,0,0,0,3,5,0
3.132,0.208,237.24,13.2,0,0,22,24,10,22
1.56,0.068,240.24,6.6,0,0,17,29,11,17
2.524,0.22,236.78,10.6,1,3,0,22,2,4
1.376,0.0,239.35,5.6,0,0,17,4,3,17
0.28,0.098,240.58,1.2,1,0,0,26,6,1
2.262,0.186,241.29,9.4,0,0,18,31,5,18
0.198,0.0,240.66,0.8,0,0,0,19,12,0
0.68,0.156,242.14,3.0,0,2,1,30,7,3
0.274,0.0,233.97,1.2,0,0,0,15,5,0
1.782,0.464,237.93,7.6,0,2,0,4,7,2
0.136,0.0,239.85,0.6,0,0,0,2,8,0
2.37,0.112,245.21,9.6,0,0,18,4,12,18
1.946,0.336,242.44,8.0,0,0,19,11,11,19
1.428,0.176,238.88,6.0,0,0,17,26,3,17
1.206,0.348,240.43,5.2,0,0,11,26,4,11
0.368,0.134,247.69,1.6,0,0,0,11,3,0
1.478,0.086,242.36,6.0,1,0,1,20,2,2
0.234,0.0,243.02,1.0,0,0,1,10,11,1
0.234,0.088,234.0,1.0,0,1,0,4,6,1
0.484,0.234,241.43,2.2,0,0,1,13,4,1
0.312,0.22,243.98,1.4,0,0,0,26,6,0
1.516,0.314,237.75,6.4,0,1,18,15,4,19
0.332,0.118,242.99,1.4,0,0,0,18,2,0
1.346,0.06,242.62,5.4,0,0,18,22,11,18
0.416,0.348,240.15,2.2,0,2,0,1,8,2
0.278,0.0,241.55,1.4,0,0,1,17,4,1
0.358,0.096,239.96,1.6,0,0,1,9,5,1
0.806,0.204,241.6,3.4,0,0,12,17,7,12
0.312,0.08,248.38,1.2,0,0,0,14,1,0
2.09,0.05,236.05,9.2,0,2,17,18,3,19
0.51,0.078,240.8,2.0,0,0,1,2,3,1
0.246,0.0,243.28,1.0,0,0,1,12,10,1
0.23,0.0,243.53,1.0,0,0,0,6,1,0
5.72,0.208,233.51,24.4,0,71,18,6,5,89
0.258,0.096,241.61,1.2,0,0,1,15,7,1
0.26,0.0,243.37,1.0,0,0,1,1,4,1
1.324,0.196,235.98,5.6,0,1,17,19,9,18
0.232,0.0,244.24,1.0,0,0,0,16,3,0
2.168,0.138,236.32,9.2,1,0,0,3,4,1
0.308,0.046,244.17,1.4,0,0,1,19,11,1
0.32,0.058,245.45,1.2,0,0,0,20,10,0
0.382,0.162,240.05,1.8,0,0,0,5,1,0
0.272,0.298,239.26,1.6,0,1,1,24,8,2
0.236,0.0,241.05,1.0,0,0,1,18,5,1
0.18,0.158,243.17,0.8,0,0,0,27,8,0
1.108,0.12,237.51,4.6,0,0,0,3,9,0
0.322,0.234,240.72,1.6,0,0,1,2,6,1
1.532,0.0,242.15,8.6,0,0,0,19,10,0
0.22,0.0,244.71,0.8,0,0,0,22,3,0
2.41,0.26,238.42,11.0,11,0,19,19,6,30
3.486,0.096,236.99,14.6,0,0,17,28,11,17
0.51,0.368,244.7,2.4,0,2,1,3,5,3
1.842,0.124,232.75,7.8,0,4,0,13,2,4
0.798,0.22,243.11,3.6,0,1,0,6,3,1
0.338,0.138,242.53,1.4,0,2,0,21,2,2
0.386,0.118,243.63,1.6,0,0,1,23,4,1
0.366,0.0,244.59,1.4,0,0,1,24,11,1
0.238,0.114,242.62,1.0,0,0,0,10,9,0
0.38,0.11,246.52,1.6,0,0,0,30,3,0
5.024,0.0,235.67,21.2,37,0,17,29,8,54
0.22,0.098,236.52,1.0,0,2,0,8,5,2
0.44,0.218,246.44,2.0,0,1,1,8,2,2
3.154,0.47,240.55,13.2,0,1,18,13,12,19
2.056,0.0,241.04,8.4,0,0,18,14,9,18
1.338,0.0,237.41,5.6,0,0,18,30,9,18
0.332,0.0,241.42,1.4,0,1,1,14,4,2
0.424,0.214,243.96,2.0,0,1,1,13,10,2
0.324,0.262,242.94,1.6,0,2,1,9,8,3
0.646,0.056,241.54,2.8,0,0,0,16,1,0
0.576,0.186,235.5,2.6,0,1,0,28,5,1
0.28,0.142,240.85,1.2,0,0,1,20,7,1
0.43,0.0,241.71,1.8,0,0,0,6,3,0
0.268,0.098,240.02,1.2,0,0,1,24,8,1
0.298,0.124,241.33,1.4,0,0,1,1,7,1
0.332,0.164,240.13,1.6,0,1,0,12,4,1
0.268,0.086,241.86,1.2,0,1,1,18,9,2
0.288,0.082,242.07,1.2,0,0,0,25,2,0
0.666,0.214,241.71,3.0,1,4,1,1,5,6
0.168,0.0,240.63,0.8,0,0,0,28,6,0
0.268,0.112,241.27,1.2,0,2,0,30,8,2
0.244,0.0,242.03,1.0,0,0,0,24,10,0
1.648,0.12,236.74,7.0,0,1,18,29,11,19
1.606,0.124,236.91,6.8,0,1,17,15,11,18
0.328,0.198,234.82,1.6,0,0,1,4,6,1
1.392,0.138,241.24,5.8,0,0,19,17,9,19
