Date,Time,Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3
16-02-2010,04:27:00,0.53,0.232,249.4,2.2,0,2,0
11-03-2008,06:48:00,2.81,0.348,241.57,12,0,1,18
23-05-2009,02:06:00,0.4,0.226,240.28,1.8,0,1,1
09-07-2009,02:24:00,0.282,0.118,240.8,1.2,0,0,0
31-08-2010,14:36:00,0.576,0,240.7,2.4,0,0,0
28-02-2009,12:45:00,1.672,0.154,243.12,6.8,0,0,19
03-07-2008,13:10:00,1.086,0.442,239.31,4.8,0,2,12
30-03-2010,07:33:00,2.23,0.282,236.92,9.4,0,0,18
28-01-2008,18:00:00,0.376,0.048,239.79,1.8,0,0,0
29-01-2007,07:58:00,2.154,0.164,238.21,9,0,0,18
05-04-2009,17:48:00,0.524,0.094,241.58,2.2,0,0,0
25-04-2008,22:04:00,0.388,0.196,239.33,1.8,0,1,1
02-11-2008,19:30:00,0.45,0,238.99,2.2,0,0,0
13-06-2008,14:23:00,3.8,0.32,235.48,16.2,0,37,18
24-09-2009,16:03:00,0.202,0.102,238.84,0.8,0,0,0
06-04-2010,02:39:00,0.306,0.112,245.67,1.2,0,1,1
30-12-2008,12:56:00,1.458,0,241.36,6,0,0,17
18-03-2007,07:22:00,4.266,0.38,239.54,17.8,0,39,0
27-10-2008,08:19:00,0.198,0.058,236.99,0.8,0,0,0
15-12-2007,12:51:00,0.73,0.444,243.75,3.6,0,1,0
09-02-2008,01:29:00,0.218,0,241.69,0.8,0,0,0
12-03-2008,04:38:00,0.296,0.072,240.51,1.2,0,0,0
13-09-2008,23:12:00,0.848,0.2,242.09,3.6,0,0,1
24-04-2008,22:18:00,1.094,0.154,238.73,4.6,0,0,0
23-10-2010,05:08:00,0.328,0.082,244.9,1.4,0,1,1
06-01-2010,09:56:00,1.566,0.248,246.83,6.4,0,1,19
05-04-2008,17:02:00,2.178,0.314,238.5,9.2,0,0,18
03-08-2009,08:29:00,0.28,0.224,240.74,1.4,0,1,0
17-02-2009,17:04:00,0.31,0.058,244.5,1.2,0,0,0
06-08-2008,00:12:00,0.968,0.384,240.61,4.2,0,1,12
10-10-2007,02:51:00,0.326,0.098,241.86,1.4,0,0,0
13-04-2007,00:08:00,0.386,0.236,239.96,1.8,0,1,0
23-05-2008,05:08:00,0.954,0.332,237.56,4.2,0,2,11
10-04-2009,05:49:00,0.356,0.12,242.77,1.4,0,0,0
05-08-2009,23:46:00,0.312,0.24,242.61,1.6,0,0,1
12-08-2010,06:00:00,0.318,0.21,238,1.6,0,0,0
17-07-2010,21:50:00,0.622,0.228,238.56,2.8,0,1,1
22-04-2008,05:49:00,0.276,0,242.03,1.2,0,0,1
20-10-2009,23:53:00,0.386,0.186,245.78,1.6,0,2,1
08-06-2008,09:28:00,0.318,0.228,240.59,1.6,0,1,0
30-09-2008,12:19:00,0.24,0,240.17,1,0,0,1
23-04-2008,21:21:00,3.902,0.262,232.06,16.8,37,1,1
03-05-2009,14:24:00,0.484,0.048,245.97,2,0,0,1
06-09-2009,05:51:00,0.384,0.236,242.41,1.8,0,0,0
29-11-2008,20:08:00,1.54,0.156,239.09,6.4,1,1,0
13-06-2007,01:29:00,1.232,0.082,238.64,5,0,0,17
17-03-2009,17:13:00,0.49,0.398,243.32,2.6,0,0,0
29-04-2010,15:42:00,0.312,0.064,243.18,1.2,0,0,1
18-12-2009,15:01:00,1.53,0.138,248.82,6,0,0,20
21-03-2010,13:06:00,?,?,?,?,?,?,
03-12-2009,17:52:00,1.332,0.222,243.13,5.6,0,2,1
08-08-2007,05:55:00,0.174,0.088,233.54,0.8,0,0,0
11-03-2010,05:28:00,0.268,0,246.1,1,0,0,1
29-04-2009,13:11:00,2.15,0.21,239.8,9,1,0,28
15-12-2007,21:42:00,1.182,0.094,241.65,4.8,0,1,0
11-12-2007,01:40:00,0.302,0.09,243.42,1.2,0,1,0
07-06-2008,12:29:00,1.878,0.374,239.68,8,0,5,19
15-11-2008,16:41:00,2.822,0.29,236.86,12,1,2,18
19-09-2008,07:55:00,1.298,0.116,240.53,5.4,0,1,18
25-01-2009,15:04:00,4.014,0.38,244.32,16.4,2,39,18
23-10-2010,12:21:00,2.696,0.728,241.9,11.4,0,1,27
08-06-2009,11:07:00,0.388,0.146,242.48,1.8,0,0,1
07-01-2007,18:21:00,5.168,0.568,232.98,22.2,0,36,17
17-10-2009,16:12:00,5.738,0.43,237.69,24.4,28,35,18
